repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
iamshaunjp/complete-mongodb,47.00 ,9.00 ,1.00 ,1.00 ,0.00 ,NULL
iamshaunjp/firestore-pagination-tutorial,19.00 ,16.00 ,1.00 ,0.00 ,0.00 ,NULL
justinshenk/deepemotion,12.00 ,7.00 ,1.00 ,0.00 ,2.00 ,JavaScript
lukefire5156/REMOTE-EDUCATION-APP---EMAGISTER,6.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Java
siddhi-244/Embellish,39.00 ,99.00 ,1.00 ,0.00 ,55.00 ,HTML
vasu-1/GithubBotApp,6.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Python
carloscuesta/n26-github-actions-demo,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
aloisdeniel/dart-opencage-geocoder,7.00 ,4.00 ,1.00 ,1.00 ,3.00 ,Dart
aloisdeniel/feature_flags,18.00 ,1.00 ,1.00 ,1.00 ,0.00 ,Dart
Anurag5086/chatify,0.00 ,1.00 ,1.00 ,0.00 ,3.00 ,JavaScript
JDevlieghere/InTeXration,18.00 ,4.00 ,1.00 ,0.00 ,0.00 ,Python
KrauseFx/engagement-enhancer,3.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
artkirienko/int-flip,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,C
vasu-1/GithubBotApp,6.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Python
carloscuesta/n26-github-actions-demo,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
aloisdeniel/dart-opencage-geocoder,7.00 ,4.00 ,1.00 ,1.00 ,3.00 ,Dart
aloisdeniel/feature_flags,18.00 ,1.00 ,1.00 ,1.00 ,0.00 ,Dart
antoniaandreou/github-slideshow,0.00 ,0.00 ,1.00 ,0.00 ,8.00 ,HTML
artkirienko/hlds-docker-dproto,19.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Pawn
artkirienko/int-null-even,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,C
KrauseFx/dotfiles,84.00 ,7.00 ,1.00 ,1.00 ,0.00 ,Shell
divyamagwl/Depocalypse,14.00 ,5.00 ,1.00 ,0.00 ,4.00 ,JavaScript
ritwickdey/Cake-Shop,44.00 ,40.00 ,1.00 ,1.00 ,0.00 ,C#
ritwickdey/expensify-app,4.00 ,3.00 ,1.00 ,0.00 ,0.00 ,JavaScript
stong/infosec-resources,799.00 ,72.00 ,1.00 ,0.00 ,3.00 ,NULL
KrauseFx/certs,7.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
KrauseFx/doesitrain.today,5.00 ,2.00 ,1.00 ,1.00 ,0.00 ,Ruby
antoniaandreou/github-slideshow,0.00 ,0.00 ,1.00 ,0.00 ,8.00 ,HTML
artkirienko/hlds-docker-dproto,19.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Pawn
artkirienko/int-flip,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,C
meenal21/meenal-jain,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,CSS
justinshenk/deepemotion,12.00 ,7.00 ,1.00 ,0.00 ,2.00 ,JavaScript
lukefire5156/REMOTE-EDUCATION-APP---EMAGISTER,6.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Java
ashryanbeats/favicon-export-for-xd,2.00 ,0.00 ,1.00 ,0.00 ,1.00 ,JavaScript
blackstorm0514/Moonsama-ERC1155-Subsquid,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,TypeScript
blackstorm0514/opencart_bizzsite,8.00 ,0.00 ,1.00 ,0.00 ,0.00 ,PHP
meenal21/markdown-portfolio,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,NULL
Justin77777/github-slideshow,0.00 ,0.00 ,1.00 ,0.00 ,8.00 ,HTML
iamshaunjp/complete-mongodb,47.00 ,9.00 ,1.00 ,1.00 ,0.00 ,NULL
5cientist/5cientist,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
aka-jain/Github-Search,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
vitasha10/vkbot,6.00 ,1.00 ,1.00 ,0.00 ,0.00 ,PHP
jigar-sable/flipkart-mern,91.00 ,49.00 ,1.00 ,0.00 ,0.00 ,JavaScript
mattgallagher/Clocks,102.00 ,9.00 ,1.00 ,0.00 ,0.00 ,Swift
mattgallagher/CwlFeedReader,29.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Swift
iamshaunjp/firestore-pagination-tutorial,19.00 ,16.00 ,1.00 ,0.00 ,0.00 ,NULL
iamshaunjp/bootstrap-4-playlist,66.00 ,90.00 ,1.00 ,2.00 ,0.00 ,NULL
artkirienko/int-null-even,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,C
KrauseFx/dotfiles,84.00 ,7.00 ,1.00 ,1.00 ,0.00 ,Shell
divyamagwl/Depocalypse,14.00 ,5.00 ,1.00 ,0.00 ,4.00 ,JavaScript
ritwickdey/Cake-Shop,44.00 ,40.00 ,1.00 ,1.00 ,0.00 ,C#
ritwickdey/expensify-app,4.00 ,3.00 ,1.00 ,0.00 ,0.00 ,JavaScript
stong/infosec-resources,799.00 ,72.00 ,1.00 ,0.00 ,3.00 ,NULL
KrauseFx/certs,7.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
KrauseFx/doesitrain.today,5.00 ,2.00 ,1.00 ,1.00 ,0.00 ,Ruby
KrauseFx/engagement-enhancer,3.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
PragneshRamani/Coursera--Using-Databases-with-Python,24.00 ,60.00 ,1.00 ,2.00 ,0.00 ,JavaScript
JDevlieghere/InTeXration,18.00 ,4.00 ,1.00 ,0.00 ,0.00 ,Python
Anurag5086/chatify,0.00 ,1.00 ,1.00 ,0.00 ,3.00 ,JavaScript
saniya44/github-slideshow,0.00 ,0.00 ,1.00 ,3.00 ,8.00 ,Ruby
lengstrom/blog,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,HTML
lengstrom/Dangerous-Chef-Pioneer,5.00 ,605.00 ,1.00 ,0.00 ,0.00 ,JavaScript
cyborgboy/intro-to-semgrep,0.00 ,0.00 ,1.00 ,1.00 ,2.00 ,TypeScript
shazow/colorblendy,22.00 ,1.00 ,1.00 ,0.00 ,3.00 ,JavaScript
shazow/communal,43.00 ,2.00 ,1.00 ,0.00 ,2.00 ,Go
localstack/ci-plugin-circleci,3.00 ,0.00 ,1.00 ,0.00 ,3.00 ,Makefile
AshAman999/Link-Shortner,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
bradtraversy/breaking-bad-cast,225.00 ,150.00 ,1.00 ,2.00 ,6.00 ,JavaScript
bradtraversy/breakout_desktop_nw,83.00 ,27.00 ,1.00 ,8.00 ,0.00 ,JavaScript
saurabhdaware/abell-source-devto,0.00 ,0.00 ,1.00 ,3.00 ,2.00 ,JavaScript
saurabhdaware/blep,14.00 ,1.00 ,1.00 ,0.00 ,0.00 ,JavaScript
saurabhdaware/import-ls,9.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
EstrelaE/quadras-dos-santos,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
goforbg/ClickableMapView,36.00 ,8.00 ,1.00 ,1.00 ,2.00 ,Kotlin
lucianmarin/instanote,17.00 ,2.00 ,1.00 ,0.00 ,0.00 ,PHP
lucianmarin/logparser,137.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Python
lucianmarin/pressdown,2.00 ,0.00 ,1.00 ,1.00 ,0.00 ,PHP
lucianmarin/pybench,6.00 ,1.00 ,1.00 ,1.00 ,0.00 ,Python
lucianmarin/wp-journalist,6.00 ,2.00 ,1.00 ,0.00 ,2.00 ,PHP
brettkromkamp/knowledge-graph-experiments,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
brettkromkamp/typed-tree,14.00 ,1.00 ,1.00 ,0.00 ,2.00 ,Python
Dashon-Hawkins/calculator-app,0.00 ,0.00 ,1.00 ,7.00 ,0.00 ,JavaScript
bradtraversy/brainjs_examples,105.00 ,58.00 ,1.00 ,0.00 ,3.00 ,JavaScript
bradtraversy/bootstrap-bootcamp-website,321.00 ,318.00 ,1.00 ,2.00 ,0.00 ,HTML
bradtraversy/bootsassy,6.00 ,3.00 ,1.00 ,0.00 ,0.00 ,JavaScript
AnkushMalaker/pretrained-dcnn-attention-ser,4.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
rchtgpt/certifyed,2.00 ,0.00 ,1.00 ,0.00 ,2.00 ,Python
themaaz32/audio_playere_tet,17.00 ,13.00 ,1.00 ,0.00 ,0.00 ,Dart
themaaz32/design_clone,38.00 ,32.00 ,1.00 ,0.00 ,0.00 ,Dart
GmGniap/MOHS_Scraper,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
Debajyoti14/Meal-App,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Dart
AnkushMalaker/HUSE,14.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Python
jakearchibald/aac-decode-bug,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,HTML
bradtraversy/bizlight_theme,43.00 ,18.00 ,1.00 ,0.00 ,0.00 ,CSS
jakearchibald/accept-encoding-range-test,2.00 ,2.00 ,1.00 ,1.00 ,0.00 ,JavaScript
jakearchibald/appcache-demo,240.00 ,44.00 ,1.00 ,0.00 ,0.00 ,Python
jakearchibald/async-waituntil-polyfill,31.00 ,4.00 ,1.00 ,0.00 ,0.00 ,JavaScript
securearth/backman,3.00 ,0.00 ,1.00 ,0.00 ,4.00 ,Python
bradtraversy/a4app,82.00 ,52.00 ,1.00 ,1.00 ,2.00 ,TypeScript
bradtraversy/angular-crash-todolist,224.00 ,232.00 ,1.00 ,1.00 ,2.00 ,TypeScript
hrushikesh-git/foodDom,0.00 ,0.00 ,1.00 ,5.00 ,0.00 ,JavaScript
itaditya/AM-admin-panel,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,HTML
itaditya/AR-shopping,2.00 ,5.00 ,1.00 ,0.00 ,2.00 ,HTML
trailofbits/btfparse,5.00 ,1.00 ,1.00 ,0.00 ,3.00 ,C++
RivaanRanawat/flutter-multiplayer-tictactoe,13.00 ,9.00 ,1.00 ,0.00 ,0.00 ,Dart
education/autograding-example-c,7.00 ,17.00 ,1.00 ,0.00 ,0.00 ,Shell
education/autograding-example-cpp,7.00 ,9.00 ,1.00 ,1.00 ,0.00 ,C++
education/autograding-example-java,21.00 ,59.00 ,1.00 ,1.00 ,0.00 ,Java
education/autograding-example-python,31.00 ,86.00 ,1.00 ,3.00 ,0.00 ,Python
trailofbits/brew-pip-audit,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,Ruby
trailofbits/cfg-showcase,38.00 ,12.00 ,1.00 ,0.00 ,2.00 ,C++
Rivuozil/github-slideshow,0.00 ,0.00 ,1.00 ,0.00 ,8.00 ,HTML
jamesbachini/satoshisearch,0.00 ,2.00 ,1.00 ,0.00 ,2.00 ,JavaScript
Raz0r/codeql-uboot,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,CodeQL
AnirudhDagar/comments,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
localstack/.github,3.00 ,2.00 ,1.00 ,0.00 ,2.00 ,NULL
localstack/amplify-js-local,16.00 ,1.00 ,1.00 ,0.00 ,2.00 ,JavaScript
localstack/chalice-local,17.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Python
RivaanRanawat/cuadro,8.00 ,7.00 ,1.00 ,0.00 ,0.00 ,Dart
eddiejaoude/BattleSnake,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Gherkin
PranamBhat/Angular-Ivy-Compiler,0.00 ,1.00 ,1.00 ,0.00 ,2.00 ,TypeScript
devongovett/apple-color-emoji,54.00 ,11.00 ,1.00 ,2.00 ,4.00 ,JavaScript
kaushik-rishi/codemirror-record,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,JavaScript
kaushik-rishi/procmon,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
vaibhavdes/LearnDesignPatterns,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
ifnotak/Strenua,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
idvoretskyi/community-tools,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,CSS
DevGupta-ikr/github-slideshow,0.00 ,0.00 ,1.00 ,0.00 ,8.00 ,Ruby
devongovett/babel-plugin-transform-async-super,4.00 ,1.00 ,1.00 ,0.00 ,0.00 ,JavaScript
Ipseeta/JavaPractice,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Java
devongovett/babel-plugin-transform-glob-import,5.00 ,4.00 ,1.00 ,3.00 ,0.00 ,JavaScript
devongovett/bmp.js,14.00 ,3.00 ,1.00 ,0.00 ,0.00 ,CoffeeScript
devongovett/bundler-algorithm,28.00 ,2.00 ,1.00 ,0.00 ,0.00 ,Rust
benfoxall/code-along,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,JavaScript
anuraghazra/CanvasFun,141.00 ,30.00 ,1.00 ,1.00 ,0.00 ,JavaScript
Ipseeta/CRUD-SpringMVC-Mongo-API,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,HTML
prtamil/cstl,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,C
AshAman999/FUNZONE,2.00 ,1.00 ,1.00 ,0.00 ,2.00 ,Dart
curiousily/burglar-alarm-system-with-tensorflow-js-and-react,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
AshAman999/FlutterFestival,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,NULL
StErMi/forge-damn-vulnerable-defi,12.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Solidity
adrianhajdin/project_gif_app,23.00 ,8.00 ,1.00 ,0.00 ,0.00 ,CSS
jishanshaikh4/cpp-building,16.00 ,0.00 ,1.00 ,0.00 ,0.00 ,QMake
jishanshaikh4/CSE-215-Computer-Graphics-Programs,16.00 ,1.00 ,1.00 ,0.00 ,0.00 ,C
jishanshaikh4/CSE-217-Data-Structures-Laboratory,23.00 ,3.00 ,1.00 ,0.00 ,2.00 ,C++
jishanshaikh4/CSE-315-Compiler-Design-Laboratory,16.00 ,0.00 ,1.00 ,0.00 ,0.00 ,C
jishanshaikh4/CSE-317-Operating-Systems-Laboratory,16.00 ,2.00 ,1.00 ,0.00 ,0.00 ,C++
jishanshaikh4/cuda-programs,14.00 ,0.00 ,1.00 ,1.00 ,0.00 ,Cuda
SOUMEE2000/Goodreads-Book-Finder-Getting-Started-Project-,3.00 ,2.00 ,1.00 ,0.00 ,0.00 ,HTML
Novusvetus/AutoGitIgnore,6.00 ,0.00 ,1.00 ,2.00 ,2.00 ,PHP
Novusvetus/ClassHelper,5.00 ,0.00 ,1.00 ,2.00 ,2.00 ,PHP
Novusvetus/StreamersMQTT,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,NULL
mrdbourke/food-not-food,45.00 ,9.00 ,1.00 ,0.00 ,2.00 ,Jupyter Notebook
ahmedEid1/E-Learning-Platform,11.00 ,11.00 ,1.00 ,0.00 ,0.00 ,JavaScript
thrau/my-action-tests,1.00 ,0.00 ,1.00 ,0.00 ,3.00 ,Python
taranjeet/hindi-news-classifier,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
taranjeet/django-library-app,49.00 ,28.00 ,1.00 ,0.00 ,0.00 ,Python
taranjeet/awesome-paid-resources-free-during-covid19,21.00 ,1.00 ,1.00 ,0.00 ,0.00 ,NULL
cheeaun/3d-touch-canvas,59.00 ,4.00 ,1.00 ,0.00 ,2.00 ,HTML
curiousily/dissertation,4.00 ,3.00 ,1.00 ,0.00 ,2.00 ,Jupyter Notebook
google/aarch64-paging,6.00 ,2.00 ,1.00 ,0.00 ,3.00 ,Rust
google/across,12.00 ,6.00 ,1.00 ,3.00 ,4.00 ,HTML
google/adcase,4.00 ,6.00 ,1.00 ,0.00 ,0.00 ,Python
xoreaxeaxeax/sinkhole,823.00 ,102.00 ,1.00 ,3.00 ,0.00 ,Assembly
gylidian/DataStructure_Review,27.00 ,9.00 ,1.00 ,0.00 ,0.00 ,NULL
karar189/github-pages-with-jekyll,0.00 ,0.00 ,1.00 ,0.00 ,4.00 ,NULL
offensive-security/wireless-patches,27.00 ,17.00 ,1.00 ,0.00 ,0.00 ,NULL
RioChndr/algorithm_challenge,0.00 ,1.00 ,1.00 ,0.00 ,2.00 ,PHP
AneleMbabela/github-slideshow,0.00 ,0.00 ,1.00 ,0.00 ,8.00 ,HTML
offensive-security/gcc-arm-linux-gnueabihf-4.7,30.00 ,44.00 ,1.00 ,0.00 ,0.00 ,NULL
offensive-security/kali-linux-docker-rolling,33.00 ,15.00 ,1.00 ,1.00 ,0.00 ,NULL
offensive-security/kali-linux-recipes,466.00 ,206.00 ,1.00 ,1.00 ,0.00 ,NULL
offensive-security/Kali-WSL-chroot,40.00 ,17.00 ,1.00 ,1.00 ,2.00 ,NULL
joelparkerhenderson/architecture-decision-record,0.00 ,0.00 ,1.00 ,0.00 ,26.00 ,NULL
joelparkerhenderson/brewfile,104.00 ,24.00 ,1.00 ,0.00 ,0.00 ,Ruby
simonw/asgi-log-to-sqlite,6.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
dheerajkotwani/CineWatch,27.00 ,8.00 ,1.00 ,0.00 ,0.00 ,Kotlin
sefakozan/turkce-iptv,48.00 ,10.00 ,1.00 ,1.00 ,0.00 ,NULL
tapaswenipathak/API-list,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,Python
antonmedv/chat,54.00 ,17.00 ,1.00 ,0.00 ,0.00 ,JavaScript
antonmedv/kot,7.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
gasteigerjo/gdc,156.00 ,26.00 ,1.00 ,0.00 ,2.00 ,Python
mager/cafebean-api,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Go
wsvincent/django-auth-tutorial,218.00 ,97.00 ,1.00 ,1.00 ,2.00 ,Python
MannyP31/Dev-folio-1,5.00 ,1.00 ,1.00 ,0.00 ,3.00 ,HTML
wsvincent/django-rest-framework-react-tutorial,68.00 ,25.00 ,1.00 ,1.00 ,0.00 ,Python
RakeshSeervi/congenial-spoon,0.00 ,7.00 ,1.00 ,0.00 ,6.00 ,CSS
patraanjan23/abstractform,0.00 ,1.00 ,1.00 ,0.00 ,2.00 ,SCSS
emersonsoares/CakePHP-Dinamic-Select-Box,5.00 ,3.00 ,1.00 ,0.00 ,0.00 ,PHP
mikenikles/deno-sapper-cloud-run,7.00 ,1.00 ,1.00 ,8.00 ,0.00 ,JavaScript
mikenikles/gitpod-minimal-custom-dockerfile,3.00 ,1.00 ,1.00 ,1.00 ,0.00 ,NULL
sreehari2003/Netflix-clone-React,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
zfogg/dotfiles,13.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Shell
ck37/coral-ordinal,48.00 ,17.00 ,1.00 ,0.00 ,3.00 ,Python
gabrielfalcao/bolacha,17.00 ,5.00 ,1.00 ,0.00 ,2.00 ,Python
markwylde/assert-plan,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,JavaScript
PawanKolhe/calc-2000-web-app,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,JavaScript
MariaEduardaDeAzevedo/celare,3.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
MariaEduardaDeAzevedo/header,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,Python
MariaEduardaDeAzevedo/nosso-py,52.00 ,19.00 ,1.00 ,2.00 ,18.00 ,Python
varunKT001/git-github-hIQ-fork,1.00 ,1.00 ,1.00 ,0.00 ,2.00 ,NULL
defuse/dnsfs,33.00 ,5.00 ,1.00 ,0.00 ,0.00 ,Ruby
zfogg/ascii-chat,158.00 ,8.00 ,1.00 ,0.00 ,3.00 ,C
defuse/email-spoofing,39.00 ,22.00 ,1.00 ,0.00 ,0.00 ,Ruby
marcel-dempers/k8s-build-your-own,3.00 ,13.00 ,1.00 ,0.00 ,2.00 ,Shell
Tyriar/canvas-astar.dart,2.00 ,1.00 ,1.00 ,0.00 ,0.00 ,Dart
ankitkumar70777/github-slideshow,0.00 ,0.00 ,1.00 ,0.00 ,8.00 ,HTML
aitikgupta/interactive_cpu_scheduler,0.00 ,5.00 ,1.00 ,1.00 ,7.00 ,Python
gwmccubbin/voting_dapp,11.00 ,5.00 ,1.00 ,0.00 ,0.00 ,JavaScript
gamemann/All_PropHealth,4.00 ,3.00 ,1.00 ,0.00 ,0.00 ,SourcePawn
